,program,content,start,end,start_s,end_s,duration_s
3686,5269210_001,bonjour à tous je serais ravi de vous retrouver pour cette édition du treize e à la une aujourd'hui la colère de la grande muette les quatre plus hauts gradés des différents corps d'armée menace de démissionner si de nouvelles économies sont entre autres et au budget de la défense euh le ministre lui-même met tout son poids dans la balance avec une lettre adressée à manuel valls,0:00:04.840000,0:00:24.330000,4.84,24.33,19.49
3687,5269210_001,nous détaillerons aussi les chiffres de la fraude aux prestations sociales ils sont en forte hausse plus seize virgule cinq pour cent mais attention ce sont surtout les contrôles qui se renforce qui sont plus efficaces avec un croisement des fichiers des administrations,0:00:25.020000,0:00:38.670000,25.02,38.67,13.650000000000002
3688,5269210_001,nous irons suite à à ange un petit village de haute-savoie qui a choisi de ne pas faire faire de cadeaux pour la fête des mères l'idée est de protéger les enfants qui vivent une situation et la décision phare c'est mal hein,0:00:39.400000,0:00:51.280000,39.4,51.28,11.880000000000003
3689,5269210_001,sacré aux vacances des retraités il dont quinze millions en france alors partout il en décalé préfèrent il se retrouver en famille ou les séjours découverte manuel tissier nous le dira sur le plateau,0:00:53.670000,0:01:05.190000,53.67,65.19,11.519999999999996
3690,5269210_001,et puis dans les cinq dernières minutes nous recevrons marlène tiare par une mère active qui a créé le blog ma mon travail est devenu une référence signe aussi deux livres pour aider les femmes d'aujourd'hui à ne pas se culpabiliser,0:01:06.040000,0:01:19.390000,66.04,79.39,13.349999999999994
3691,5269210_001,c'est extrêmement rare les principaux responsables de l'armée menace de démissionner,0:01:20.170000,0:01:25.680000,80.17,85.68,5.510000000000005
3692,5269210_001,les généraux cinq étoiles ou chef d'état major des armées il dénonce les nouvelles économies envisagées sur le budget de la défense est manifestement jean-yves le drian est sur la même longueur d'ondes le ministre a même envoyé une lettre au chef du gouvernement détaillé explications avec franck génauzeau nicolas chateauneuf et tatiana de aligot,0:01:25.680000,0:01:43.430000,85.68,103.43,17.75
3693,5269210_001,engagés dans des opérations au mali et en centrafrique chargé de défendre le territoire national l'armée française peut elle subir de nouvelles coupes budgétaires sans perdre en efficacité,0:01:44.220000,0:01:55.160000,104.22,115.16,10.939999999999998
3694,5269210_001,non répond fermement le ministre de la défense et jean-yves le drian passent à l'offensive le figaro révèle ce matin qu'il a fait parvenir une lettre à françois hollande pour lui demander de protéger le budget de la défense,0:01:55.460000,0:02:07.650000,115.46,127.65,12.190000000000012
3695,5269210_001,six le chef de l'état a pourtant souvent répété que les finances de l'armée ne serait pas un nouveau ponctionnées,0:02:07.650000,0:02:13.460000,127.65,133.46,5.810000000000002
3696,5269210_001,pour la défense,0:02:13.800000,0:02:16.310000,133.8,136.31,2.509999999999991
3697,5269210_001,le budget a été strictement,0:02:17.790000,0:02:20.440000,137.79,140.44,2.6500000000000057
3698,5269210_001,mais le gouvernement cherche actuellement cinquante milliards d'euros à économiser il serait donc tentant pour bercy,0:02:21.840000,0:02:27.270000,141.84,147.27,5.430000000000007
